DIRECTORIO SECUENCIA_ENCUESTA SECUENCIA_P ORDEN DEPMUNI P5747 P5752 P5752S1 P5090 FEX_C
93787 1 1 1 05001 2 1 3 1 344.11326141727
93791 1 1 1 05001 1 1 3 1 305.259101981321
93793 1 1 1 05001 2 1 3 1 334.80708176925
93795 1 1 1 05001 2 1 1 2 347.934680183299
93797 1 1 1 05001 1 1 1 1 212.736532945059
93799 1 1 1 05001 1 1 1 3 217.658250725813
93801 1 1 1 05001 1 1 1 2 334.80708176925
93803 1 1 1 05001 2 1 2 2 273.285821556443
93805 1 1 1 05001 2 1 1 3 334.80708176925
93807 1 1 1 05001 1 1 1 1 347.934680183299
93809 1 1 1 05001 1 1 1 1 324.053007220599
93811 1 1 1 05001 1 1 2 1 355.239477672179
93813 1 1 1 05001 1 1 1 1 231.241484388966
93815 1 1 1 05001 2 1 2 2 292.753188759046
93817 1 1 1 05001 2 1 2 1 419.452197164028
93819 1 1 1 05001 2 1 2 2 292.297553509942
93821 1 1 1 05001 2 1 2 1 292.297553509942
93823 1 1 1 05001 2 1 2 2 591.905844666604
93825 1 1 1 05001 2 1 2 2 334.80708176925
93827 1 1 1 05001 2 1 3 3 221.894337758884
93829 1 1 1 05001 2 1 2 1 359.47556470525
93831 1 1 1 05001 1 1 3 1 377.673255734247
93833 1 1 1 05001 2 1 1 2 289.737614069658
93835 1 1 1 05001 2 1 2 2 323.2661972473
93839 1 1 1 05001 2 1 3 1 199.817205402503
93841 1 1 1 05001 2 1 2 2 285.470115897252
93843 1 1 1 05001 2 1 3 2 314.705860590516
93845 1 1 1 05001 2 1 2 1 343.023772192035
93847 1 1 1 05001 2 1 1 2 347.934680183299
93849 1 1 1 05001 2 1 1 1 336.483229362037
93851 1 1 1 05001 2 1 1 1 314.705860590516
93853 1 1 1 05001 1 1 2 1 277.862639156436
93855 1 1 1 05001 2 1 2 2 256.543821301096
93857 1 1 1 05001 2 1 1 1 309.164014290198
93859 1 1 1 05001 2 1 1 2 256.088186051992
93861 1 1 1 05001 2 1 1 2 263.979641908423
93863 1 1 1 05001 2 1 1 2 265.990579910292
93865 1 1 1 05001 2 1 3 1 277.862639156436
93867 1 1 1 05001 2 1 2 1 285.789121837089
93869 1 1 1 05001 2 1 1 2 252.862981496243
93871 1 1 1 05001 2 1 3 1 279.169955095893
93873 1 1 1 05001 1 1 2 2 343.023772192035
93875 1 1 1 05001 2 1 3 1 265.356725934161
93877 1 1 1 05001 2 1 2 3 300.183069208532
93879 1 1 1 05001 1 1 1 1 255.454332075861
93881 1 1 1 05001 1 1 1 1 298.597714311301
93883 1 1 1 05001 1 1 4 1 313.144617679911
93887 1 1 1 05001 1 1 2 2 236.452155965091
93889 1 1 1 05001 1 1 2 3 311.091458749219
93893 1 1 1 05001 1 1 2 1 244.545942535174
93895 1 1 1 05001 2 1 3 1 279.501129820087
93897 1 1 1 05001 1 1 2 2 334.80708176925
93899 1 1 1 05001 2 1 4 1 318.68646398023
93901 1 1 1 05001 2 1 3 2 303.838438031892
93903 1 1 1 05001 1 1 2 1 297.96386033517
93905 1 1 1 05001 1 1 2 1 327.502284280371
93909 1 1 1 05001 2 1 2 3 302.199947368241
93911 1 1 1 05001 2 1 2 1 335.138256493445
93913 1 1 1 05001 1 1 2 2 327.957919529475
93915 1 1 1 05001 2 1 3 1 359.800799271603
93917 1 1 1 05001 2 1 2 2 303.289436593476
93919 1 1 1 05001 1 1 2 1 360.896228654679
93921 1 1 1 05001 2 1 3 2 332.15634963341
93923 1 1 1 05001 1 1 3 2 329.340926549769
93925 1 1 1 05001 2 1 2 2 384.138107483408
93927 1 1 1 05001 2 1 3 2 336.393795661349
93931 1 1 1 05001 2 1 1 1 218.878763069496
93935 1 1 1 05001 2 1 4 1 359.47556470525
93937 1 1 1 05001 2 1 2 2 235.021936172933
93939 1 1 1 05001 2 1 2 1 279.169955095893
